week,AFC_dairy,cover_LU_dairy,growth_dairy,demand_dairy,stocking_rate_dairy,pregrazing_yield_dairy,diet_grass_dairy,diet_supplement_dairy,AFC_drystock,pregrazing_yield_drystock,growth_drystock,stocking_rate_drystock,demand_drystock,days_ahead_drystock,DM_Moorepark,DM_Grange,DM_Ballyhaise,DM_Athenry,DM_Kilworth,DM_Clonakilty
2020-09-14,888.0,303.0,57.0,45.0,2.93,1815.0,,,,,,,,,0.16,,,,,
2020-09-21,960.0,323.0,58.0,47.0,2.97,1950.0,,,,,,,,,0.16,,0.17,,,
2020-09-28,,,,,,,,,,,,,,,,,,,,
2020-10-05,927.0,317.0,40.0,40.0,2.91,1950.0,,,,,,,,,0.123,,,,,
2020-10-12,838.0,286.0,35.0,40.0,2.9,1810.0,,,,,,,,,0.131,,,,,
2020-10-19,774.0,276.0,28.0,38.0,2.8,1750.0,,,,,,,,,0.131,,,,,
2020-10-26,704.0,260.0,25.0,31.0,2.7,1720.0,,,,,,,,,0.168,,,,,
2020-11-02,651.0,253.0,21.0,28.0,2.6,1510.0,,,,,,,,,0.124,,,,,
2020-11-09,687.0,254.0,16.0,24.0,2.7,1350.0,,,,,,,,,,,,,,
2020-11-16,643.0,321.0,14.0,29.0,2.0,1315.0,,,,,,,,,,,,,,
2020-11-23,633.0,,12.0,13.0,1.7,1240.0,,,,,,,,,,,,,,
2020-11-30,682.0,,10.0,,,,,,,,,,,,,,,,,
2020-12-07,733.0,,9.0,,,,,,,,,,,,,,,,,
2020-12-14,789.0,,7.0,,,,,,,,,,,,,,,,,
2020-12-21,,,,,,,,,,,,,,,,,,,,
2020-12-28,,,,,,,,,,,,,,,,,,,,
2021-01-04,832.0,,6.0,,,,,,,,,,,,,,,,,
2021-01-11,832.0,,6.0,,,,,,,,,,,,,,,,,
2021-01-18,814.0,,5.0,,,,,,,,,,,,,,,,,
2021-01-25,843.0,,5.0,,,,,,,,,,,,,,,,,
2021-02-01,852.0,,4.0,,,,,,,,,,,,,,,,,
2021-02-08,855.0,,4.0,,,,,,,,,,,,0.224,0.22,,,,
2021-02-15,869.0,,4.0,,,,,,,,,,,,0.176,0.22,0.17,0.19,,
2021-02-22,840.0,,6.0,,,,,,,,,,,,0.15,0.215,,,,
2021-03-01,925.0,,9.0,,,,8.5,6.0,,,,,,,0.17,0.22,,0.2,,
2021-03-08,855.0,,4.0,,,,,,,,,,,,0.224,0.22,,,,
2021-03-15,801.0,,14.0,,,,10.0,6.0,,,,,,,0.158,,,0.165,,
2021-03-22,800.0,,18.0,,,,10.5,6.0,,,,,,,0.189,0.22,,,,
2021-03-29,770.0,280.0,27.0,34.0,2.75,,11.0,5.5,,,,,,,0.147,0.165,0.15,,,
2021-04-05,760.0,253.0,33.0,40.0,3.0,,13.0,4.5,,,,,,,0.2,0.165,,,,
2021-04-12,753.0,230.0,34.0,42.0,3.3,,12.5,5.0,,,,,,,0.192,0.185,,0.175,,
2021-04-19,725.0,213.0,35.0,45.0,3.3,,13.0,5.0,,,,,,,0.165,,,0.15,,
2021-04-26,716.0,200.0,48.0,50.0,3.6,1557.0,13.5,4.5,,,,,,,0.23,,0.22,,,
2021-05-03,730.0,203.0,49.0,51.0,3.6,1619.0,14.0,4.0,,,,,,,0.21,0.25,,0.2,,
2021-05-10,706.0,186.0,54.0,51.0,3.8,,14.0,4.0,760.0,,41.0,3.23,41.0,18.5,0.175,,,0.19,,
2021-05-17,732.0,190.0,57.0,55.0,3.8,1610.0,14.5,3.5,786.0,1743.0,50.0,3.4,42.0,18.0,0.18,0.2275,,,,
