week,derry,antrim,down,armagh,fermanagh,tyrone
2017-10-02,27.5,23.2,34.9,22.4,19.1,34.8
2017-10-09,18.2,20.8,33.1,31.5,12.6,35.5
2017-10-16,12.7,20.2,32.0,13.8,24.4,45.2
2017-10-23,,,,,,
2017-10-30,,,,,,
2017-11-06,,,,,,
2017-11-13,,,,,,
2017-11-20,,,,,,
2017-11-27,,,,,,
2017-12-04,,,,,,
2017-12-11,,,,,,
2017-12-18,,,,,,
2017-12-25,,,,,,
2018-01-01,,,,,,
2018-01-08,,,,,,
2018-01-15,,,,,,
2018-01-22,,,,,,
2018-01-29,,,,,,
2018-02-05,,,,,,
2018-02-12,,,,,,
2018-02-19,,,,,,
2018-02-26,,,,,,
2018-03-05,,,,,,
2018-03-12,,,,,,
2018-03-19,,,,,,
2018-03-26,7.1,15.3,7.7,9.4,8.0,2.8
2018-04-02,3.8,6.0,10.2,12.3,7.9,8.2
2018-04-09,4.1,12.0,13.9,9.7,3.9,5.4
2018-04-16,17.5,17.3,34.1,23.2,33.0,20.9
2018-04-23,47.9,35.7,59.8,43.6,59.8,39.3
2018-04-30,53.6,59.4,60.8,51.6,54.9,56.5
2018-05-07,71.1,59.2,56.5,56.9,64.1,63.6
2018-05-14,75.8,72.4,72.2,79.2,54.4,65.1
2018-05-21,79.7,71.9,83.5,70.7,69.7,81.8
2018-05-28,100.2,60.1,87.0,54.7,86.3,75.4
2018-06-04,88.0,67.6,90.0,82.3,84.3,90.9
2018-06-11,76.4,80.2,73.7,60.6,76.1,90.6
2018-06-18,56.3,72.6,46.2,28.9,71.1,71.5
2018-06-25,65.1,57.6,35.3,48.5,61.6,68.2
2018-07-02,48.2,53.8,18.1,35.4,52.3,52.0
2018-07-09,48.9,32.9,18.1,20.1,37.9,43.7
2018-07-16,32.7,30.0,13.1,51.1,42.9,43.1
2018-07-23,51.3,36.9,24.1,25.3,48.2,57.3
2018-07-30,73.9,51.2,28.5,40.6,61.7,65.5
2018-08-06,71.3,48.0,39.0,72.8,83.5,69.2
2018-08-13,61.1,62.3,64.9,52.6,71.6,78.8
2018-08-20,63.8,61.8,74.1,49.3,68.9,65.1
2018-08-27,63.6,45.5,77.5,45.6,68.7,73.0
2018-09-03,59.7,48.2,76.3,40.9,76.7,71.2
2018-09-10,54.6,52.8,61.3,37.4,58.5,59.9
2018-09-17,53.8,49.9,54.2,32.6,70.2,55.7
2018-09-24,39.8,38.1,45.7,25.5,73.2,56.6
2018-10-01,30.4,29.2,37.1,36.9,59.3,42.3
2018-10-08,31.1,46.8,38.1,32.9,51.7,46.0
2018-10-15,30.1,29.6,34.8,22.8,34.9,37.5
2018-10-22,35.0,21.3,23.2,21.9,29.0,24.2
2018-10-29,,,,,,
2018-11-05,,,,,,
2018-11-12,,,,,,
2018-11-19,,,,,,
2018-11-26,,,,,,
2018-12-03,,,,,,
2018-12-10,,,,,,
2018-12-17,,,,,,
2018-12-24,,,,,,
2018-12-31,,,,,,
2019-01-07,,,,,,
2019-01-14,,,,,,
2019-01-21,,,,,,
2019-01-28,,,,,,
2019-02-04,,,,,,
2019-02-11,,,,,,
2019-02-18,,,,,,
2019-02-25,,,,,,
2019-03-04,,,,,,
2019-03-11,,,,,,
2019-03-18,15.0,13.4,16.5,16.0,8.9,21.0
2019-03-25,20.5,23.6,29.2,19.1,27.1,21.1
2019-04-01,29.8,30.0,41.0,33.8,25.9,31.6
2019-04-08,38.8,26.4,41.0,30.4,25.9,27.2
2019-04-15,36.6,47.3,33.1,34.8,35.0,32.4
2019-04-22,48.0,45.1,51.5,52.0,61.8,55.6
2019-04-29,79.8,51.0,71.2,67.5,65.8,66.4
2019-05-06,71.0,72.4,66.7,71.5,74.9,72.5
